TV,Radio,Social Media,Influencer,Sales,ROI
12.0,1.648197979,1.30572513,Mega,43.06509252,2.87985247791473
94.0,47.11629339,9.322957802,Micro,336.5934202,2.237404251437136
97.0,39.23230636,3.698661076,Nano,345.3131637,2.46773941485065
44.0,16.91203429,4.034660177,Macro,154.2065565,2.3743557353539178
86.0,31.52189727,6.398283645,Mega,304.7437748,2.4591940759756596
93.0,33.05945096,5.78929841,Micro,335.2090696,2.5423757995559066
30.0,10.64510759,1.915517115,Macro,104.1809671,2.447825139365515
32.0,0.758066665,2.359200238,Mega,112.269694,3.1969940687613425
29.0,2.172596338,4.208324504,Mega,103.6348659,2.9291172596326858
72.0,25.40659637,3.215455403,Micro,262.4011715,2.6077899116186605
14.0,8.001265854,4.18783431,Micro,51.44298395,1.9642898621127287
95.0,38.41522497,7.673636553,Micro,336.7606331,2.3868690232864487
20.0,3.934783488,0.328469804,Nano,72.62590273,2.993246695155508
49.0,24.35904434,3.797367287,Nano,174.1981389,2.2577273259172848
29.0,11.21368878,0.55883658,Macro,98.99963768,2.428096783456143
0.0,7.635819371,1.554145839,Macro,56.18672988,6.11392193507553
39.0,13.18725635,2.766352269,Macro,140.4152859,2.555160424013573
87.0,33.70789822,3.327272719,Nano,309.3616681,2.4941447313531966
38.0,9.437711713,4.377587812,Mega,133.5654887,2.57772298769704
43.0,9.726736048,0.337998227,Macro,152.2546677,2.8692251036434686
30.0,8.421994731,3.279480595,Macro,112.3081088,2.693144737015533
93.0,19.95638677,2.261406312,Mega,333.5791129,2.8952048462045545
86.0,25.26070742,6.765663894,Nano,307.6190894,2.6063589516075463
63.0,26.03598627,3.290816886,Nano,225.4862319,2.4422618805397946
93.0,28.03820883,2.924281836,Nano,333.9664321,2.6940926267755216
94.0,32.14620508,4.61092529,Macro,334.6459156,2.559293819412076
63.0,21.84654391,2.64241023,Macro,222.4683071,2.542815939301386
30.0,17.46901907,4.337634178,Nano,105.1853123,2.030343705015546
18.0,7.291955516,2.317959067,Micro,62.31766345,2.2570755611236217
24.0,3.426021221,0.00317676,Micro,86.11553566,3.1395571871861363
56.0,14.88018119,2.367556821,Macro,197.225133,2.692576431102646
40.0,17.42884965,3.306706147,Macro,143.8359148,2.3682324614061523
74.0,29.56295098,2.060719698,Micro,263.105633,2.4909722537677474
52.0,14.56589504,1.9982184,Mega,182.9860143,2.668830750070587
74.0,20.22086793,4.540904518,Macro,267.7373384,2.7109410024103093
0.0,30.47048529,6.806918967,Micro,336.8186903,9.035465237275789
70.0,15.3541893,1.049369556,Micro,250.7513879,2.9020955990701927
99.0,33.87824351,8.091610987,Mega,356.5821434,2.529492171729442
42.0,15.21523612,1.501445964,Nano,145.2164746,2.4731723497634546
85.0,31.79693826,2.16250238,Mega,303.397391,2.5504271823045452
38.0,8.872274678,1.605213404,Macro,132.3443679,2.730017027205259
30.0,15.43267247,3.9865702,Macro,104.5039262,2.1146403820437176
49.0,21.03218038,5.087016957,Micro,174.5641128,2.3238282488146123
27.0,6.447508155,1.415638249,Mega,96.43343282,2.7660565028329103
30.0,4.561312156,1.652759623,Mega,104.1503565,2.8759637175180957
100.0,36.57380821,5.273156173,Mega,354.7973747,2.5012687176160786
21.0,1.380311071,5.286680958,Mega,80.94072509,2.9255339722207427
38.0,18.90360911,4.889993447,Macro,131.1015188,2.1216034245465556
39.0,9.722746017,0.903060425,Micro,135.5443199,2.7313272996060425
14.0,4.828279786,0.28603859,Micro,49.18778559,2.573347614203201
40.0,18.378401,1.320080106,Mega,141.3801238,2.368236530992588
33.0,17.44947546,0.887761603,Macro,119.3308074,2.3244493515215803
88.0,26.00963987,1.495600762,Nano,321.0466894,2.7794989010313014
67.0,28.48182095,1.520803886,Mega,240.4027581,2.4783118859561086
65.0,20.06155575,3.529274197,Nano,226.9989318,2.562329892786911
95.0,30.73728576,8.980234377,Micro,341.4281402,2.5344004243307565
95.0,36.42230623,9.997472195,Nano,335.3014311,2.3709656091550335
0.0,9.164463979,1.096681429,Macro,65.25918923,6.359834758712348
77.0,31.6532001,7.776978403,Nano,273.9603772,2.353001435902986
70.0,21.43851856,5.708104984,Mega,249.3019048,2.5662436398222863
34.0,16.19365273,0.792203039,Mega,117.0546557,2.2958260469400735
59.0,13.45217597,1.50308216,Macro,208.7495053,2.8226458885865293
30.0,12.1555835,0.932529328,Macro,106.0995933,2.4623866383642863
68.0,22.38968684,1.506105779,Micro,243.0816632,2.6451881666423698
43.0,8.573864534,3.298362157,Micro,156.9537519,2.8603496042514918
18.0,8.477135293,0.608817354,Mega,61.70848657,2.2782468600688017
84.0,33.9556193,4.479871088,Nano,299.3466037,2.4449332685430174
61.0,28.38518716,6.157704568,Micro,222.4507601,2.3282816343186745
24.0,11.88643795,1.558209074,Micro,82.54907175,2.204562689483773
41.0,8.715248318,0.181466489,Nano,144.5920869,2.8978277920556645
67.0,18.30464111,4.895171905,Micro,234.021177,2.5944751898885072
51.0,24.00692574,4.152022007,Nano,183.3277351,2.31594456871678
100.0,36.73413489,7.359714283,Micro,354.1039697,2.4574537479032883
44.0,18.94795499,2.229813818,Micro,160.5796388,2.463717947649203
10.0,0.758569411,0.527880863,Nano,35.54799802,3.1496172097519493
21.0,1.397371107,1.444591132,Nano,77.54794767,3.2525824381664896
32.0,5.471955572,0.672964457,Micro,110.3748636,2.8935665225169322
98.0,31.36391464,5.657550436,Nano,351.4266721,2.6027466958841785
39.0,4.856123013,0.874163256,Macro,131.0772545,2.9303915855070692
0.0,38.1184237,6.676611421,Micro,328.5551842,7.334633923436142
40.0,19.63906306,0.795725948,Micro,146.1456862,2.418237717031727
44.0,19.01537456,6.543306951,Mega,153.5822256,2.207951937325214
49.0,24.87104934,5.036281432,Nano,174.9861639,2.2176160590910934
78.0,30.11726533,3.357794085,Macro,278.955153,2.5023996799275445
49.0,20.42365468,4.346777364,Mega,178.3746767,2.417969798436443
55.0,22.37478299,5.066577857,Mega,197.0111372,2.389712338271878
73.0,22.86737608,0.968984226,Nano,261.0908818,2.6962070959189357
58.0,17.39877506,4.007447145,Nano,204.099035,2.5703153900595517
82.0,23.43478708,5.914866129,Micro,288.0207452,2.5866335179274746
27.0,10.33353047,1.130122514,Macro,97.61236339,2.5377819270209336
94.0,29.34460985,3.436481014,Mega,336.3726161,2.6531765408205237
69.0,23.29045109,5.671686076,Mega,245.979961,2.510969728877791
94.0,37.09705521,7.596290451,Nano,334.643793,2.4128323634066065
70.0,23.80856837,3.766603039,Micro,246.4947988,2.526204107464823
88.0,27.46149343,1.524062069,Macro,312.1429635,2.668217987840971
64.0,23.08148805,3.056298128,Macro,219.5681841,2.435917204205645
39.0,11.78254265,2.956726836,Micro,138.3753078,2.5749383853468486
99.0,37.73241144,7.72405273,Macro,349.0483366,2.4162874164580903
81.0,26.42542193,0.0,Macro,288.649441,2.686975166716946
0.0,1.287060452,0.396178735,Macro,56.54529263,33.59314176304286
25.0,0.413849392,0.0,Macro,92.35709194,3.6341244695135795
94.0,30.49815694,8.823311925,Macro,331.4840935,2.4863519455794285
73.0,25.34020889,0.0,Mega,258.3589687,2.627195646787689
36.0,8.840112507,0.962941668,Nano,125.3870645,2.737526279818217
78.0,26.40676494,2.475101624,Macro,271.0264376,2.5357569652632472
89.0,29.68238385,0.0,Macro,320.2643973,2.698499869237333
44.0,6.313173395,1.310027864,Macro,152.8312537,2.960514845509612
79.0,27.88320654,7.467941688,Nano,282.7480985,2.472630164904338
41.0,13.14265735,0.0,Nano,142.6268646,2.634278987785959
26.0,15.26673306,2.205879856,Macro,88.96782897,2.046525916026906
17.0,8.197932469,2.119872253,Mega,63.25378214,2.3154782305424226
34.0,12.66039824,0.0,Mega,117.1141409,2.509925875420475
13.0,8.077501591,0.013230147,Nano,48.30375112,2.2902833206573496
98.0,0.0,6.399729574,Nano,345.9528384,3.31373308926805
12.0,3.556576557,0.360014914,Micro,37.24327179,2.3399024758446036
11.0,3.785254654,1.569644569,Micro,45.55251127,2.7852517248127833
89.0,0.0,4.535458014,Micro,316.7256236,3.386155692449743
39.0,13.22123736,3.660566126,Micro,135.7731514,2.4296487036968135
86.0,27.14817277,4.409399375,Nano,308.3930492,2.623336324261752
22.0,0.0,4.132525561,Macro,78.03149813,2.985991459105417
76.0,26.19267329,4.127600897,Macro,269.6030059,2.535762891523515
33.0,13.36586735,0.012138363,Macro,116.2374967,2.506306489746669
12.0,0.0,1.230026167,Micro,50.00921016,3.779978174551104
83.0,28.40915338,4.085216067,Micro,292.857168,2.535683509094279
77.0,25.59837924,5.514786646,Nano,0.0,0.0
37.0,10.25291621,0.86532872,Nano,135.5300789,2.8166047846749676
0.0,17.00707465,5.199634828,Macro,208.8163817,9.403301371906208
92.0,16.70376892,1.888403291,Macro,325.5137107,2.9433702602291674
100.0,32.920194,9.904286084,Nano,357.1245732,2.5004437123801373
94.0,30.37270595,5.94611293,Mega,334.0892379,2.563630032648129
100.0,36.46675337,5.635992458,Mega,0.0,0.0
27.0,3.438824491,0.749518789,Mega,97.50795879,3.126423161198449
53.0,19.04450325,2.715095722,Macro,191.6180402,2.56312290107077
73.0,28.4645976,5.545684409,Mega,256.4252258,2.3962671715829473
78.0,26.39407008,3.83736988,Mega,279.5906387,2.5832663669940144
59.0,25.68728652,6.903109247,Macro,209.8956538,2.2916775502746036
44.0,15.72633981,5.470316628,Mega,159.6309441,2.448452924143496
74.0,24.22063365,0.285897607,Micro,0.0,0.0
82.0,33.67469531,8.243045066,Nano,290.0198478,2.3404223392066474
47.0,14.16232438,4.388114516,Nano,170.1261872,2.5953477972880727
22.0,3.598474281,4.325620528,Micro,78.81257166,2.633749564123699
78.0,24.89028294,3.531093274,Macro,277.0940713,2.603744484029211
19.0,8.726782674,0.49783849,Mega,0.0,0.0
15.0,9.809647258,2.175099221,Macro,51.15173712,1.895579680906292
78.0,36.13477932,6.812528936,Micro,275.8154126,2.280459289066627
63.0,19.10204333,4.773049696,Micro,225.791715,2.5990385406830585
45.0,12.22739961,1.306053839,Nano,162.3039063,2.7728400894954
22.0,6.809751696,0.011450525,Macro,0.0,0.0
31.0,8.843924649,0.104810858,Micro,111.1277488,2.781758856435586
23.0,2.201752448,0.376547887,Nano,80.45443519,3.1454175663075774
19.0,4.894410734,0.147196027,Macro,69.99070666,2.9112324877361386
40.0,11.90789251,1.958036191,Nano,138.6769979,2.574484488511669
27.0,1.384415461,2.39812919,Nano,0.0,0.0
35.0,5.392624287,0.020639976,Macro,118.5011567,2.9322342270800594
63.0,20.77468172,6.259153285,Micro,229.0903237,2.5444914535438543
78.0,23.80959139,1.915047092,Nano,276.9190626,2.669752015072634
91.0,22.27671374,3.290079821,Mega,322.6677652,2.7680933423903977
44.0,16.60931402,5.15906663,Mega,157.490072,2.3946168423716543
16.0,12.25135762,1.463118167,Mega,56.81533661,1.9120423667328013
40.0,12.7084063,5.838251913,Nano,139.792394,2.3877091924088636
60.0,21.43888957,3.147751404,Nano,212.1691189,2.508305288600075
49.0,16.31903668,0.463311511,Micro,177.5025509,2.698331023158656
71.0,26.02394936,3.116428483,Mega,253.9861099,2.5363006947926556
59.0,21.27291211,3.385121455,Nano,215.9054823,2.580809912681576
92.0,33.29585958,1.229454172,Macro,327.6536439,2.589629175251271
60.0,19.01558716,5.895165277,Mega,214.4576138,2.5256826449526284
28.0,10.93200857,1.867646115,Nano,97.20055286,2.382386655241369
29.0,9.197032332,3.246667727,Micro,99.10933661,2.3914210475634694
97.0,31.70701011,4.365166691,Nano,347.1547599,2.6087704300437293
11.0,9.398839224,3.206508472,Mega,41.35123045,1.7517738345793186
49.0,13.76198317,2.502653025,Nano,173.1550912,2.653122752153878
38.0,4.338843042,0.028073247,Mega,139.8343646,3.3005556421935314
18.0,12.38447814,1.637157501,Nano,65.125304,2.0337906760957143
42.0,10.01903472,0.191093711,Nano,152.9496029,2.929500606422287
76.0,32.31926372,6.494517858,Mega,270.6378511,2.357189593273166
86.0,29.91962703,6.312902998,Mega,303.6096465,2.483869444823335
70.0,30.47388738,5.704360367,Nano,248.0514829,2.33617985004851
69.0,24.36246064,5.463176008,Macro,239.7328932,2.4258168359075443
47.0,14.59516994,0.573235814,Nano,162.1479537,2.608205112121074
46.0,17.87483166,3.918941935,Micro,167.5332259,2.471218476505578
98.0,33.5556744,5.401715328,Micro,343.7047069,2.5095740184783324
63.0,18.31721305,5.106410106,Mega,222.4538087,2.573993088654211
66.0,15.81007671,0.495169721,Mega,229.5582512,2.7891083637353358
76.0,21.43025018,3.608351353,Nano,269.0373261,2.6627182286576905
12.0,12.84827976,2.810375342,Nano,42.65152205,1.5420678226294473
75.0,38.27143199,8.586450249,Micro,263.5238127,2.162550405915889
85.0,25.24181707,5.969538042,Nano,296.2485996,2.5492224861717436
12.0,3.188668313,0.276135877,Nano,46.84859882,3.02936902688323
90.0,33.5117751,4.663526779,Macro,322.4697556,2.5158493943272924
88.0,35.4551909,4.091396616,Macro,312.3107698,2.448601533622547
35.0,18.81472652,3.041468747,Mega,123.9521411,2.180099117042805
89.0,26.11806108,4.020019107,Nano,320.5882954,2.690896939893628
54.0,22.45001505,3.389499568,Nano,188.8286445,2.3651026112003457
16.0,1.095054697,1.784711655,Mega,55.33417257,2.930871682325574
98.0,32.07909439,4.158338824,Mega,342.6522282,2.552583284676989
23.0,7.989787362,0.508955059,Mega,84.70733843,2.6892292174028563
93.0,33.74742661,2.79805324,Mega,333.0773697,2.5711230533529115
52.0,17.45288044,3.909853584,Nano,188.1163762,2.564195278470119
27.0,8.301393097,0.297735659,Mega,98.16192205,2.757424843816029
13.0,5.358821718,3.103557138,Nano,47.50814092,2.213554296042942
83.0,21.93601248,4.436259637,Micro,294.4933353,2.692577648793548
66.0,21.57823348,8.87423765,Macro,231.9942926,2.405270594750391
19.0,7.789507227,4.06782199,Macro,62.0795245,2.0118242918379012
85.0,23.77346122,4.542661031,Mega,304.9042152,2.6907399330575776
63.0,19.71906624,5.481915242,Nano,220.7061299,2.502309228214672
62.0,25.07908112,5.066101233,Nano,225.469526,2.4468943491396686
45.0,15.53732896,0.125813206,Mega,157.6872981,2.5993921921897964
23.0,6.621635323,0.113631173,Mega,79.93998662,2.6883897822389975
50.0,11.36398701,2.32129586,Mega,185.3102927,2.9097820461639725
60.0,19.49995648,4.912336165,Macro,216.2681567,2.5620457628076307
25.0,13.00455149,5.277124394,Micro,91.95954527,2.1246761681886452
31.0,12.22596591,0.397207276,Macro,111.1431062,2.547799668907836
77.0,21.03196536,1.86728813,Micro,275.3886734,2.7566639767490018
27.0,9.235845656,2.963209488,Nano,93.35175941,2.3814798358548925
77.0,25.58343965,3.870991902,Macro,276.0838978,2.593446733733586
95.0,25.54636769,1.963490079,Micro,333.3682547,2.721154532140481
48.0,25.37723103,3.997027881,Micro,172.8854592,2.234405364694505
14.0,4.643175727,0.637375788,Micro,53.97461493,2.799433143186205
24.0,4.014313143,1.258968767,Macro,91.49656896,3.1255999665942484
65.0,23.29031005,7.389827731,Mega,229.1969742,2.3954498761760097
35.0,9.531452188,0.103503553,Nano,125.3393415,2.8080982588466634
86.0,24.29320314,8.041212299,Micro,306.6065875,2.5910178908016164
48.0,14.41875328,3.117413536,Nano,170.2833159,2.5983105844150014
59.0,19.34086431,1.602340512,Micro,210.5717703,2.6340171221413384
88.0,26.30065656,4.204039947,Nano,314.1805472,2.6512075593682614
78.0,23.32245121,3.866739527,Mega,280.8316239,2.6697764469179277
79.0,31.05740864,3.806952761,Micro,286.677508,2.517710585407826
22.0,1.060644401,1.093882341,Macro,73.09318596,3.0260657449729798
46.0,17.61333015,3.480429694,Macro,160.6150905,2.3938901452750136
83.0,23.77898268,2.930681192,Micro,295.4915271,2.6933956104792616
26.0,12.10537618,4.007434704,Macro,94.00245512,2.232158175784807
34.0,2.089999917,0.217752116,Nano,123.1219261,3.391064420295007
50.0,3.497200302,3.337071447,Nano,174.7450326,3.0746418881152398
79.0,19.15584406,0.014711851,Macro,281.5928898,2.868404759317937
75.0,25.27194402,7.717105296,Nano,267.8036097,2.4799145042600292
32.0,13.45746031,0.91765612,Mega,116.7838444,2.5182436916633315
29.0,9.487993613,0.250432849,Micro,105.7767079,2.7305370290081457
96.0,36.72307745,3.950392592,Nano,343.0877465,2.510273181726991
74.0,27.96329539,2.837584957,Nano,258.3754265,2.4653936650580452
49.0,20.26585723,3.446132597,Micro,171.8566675,2.363525849160365
34.0,16.85678293,3.886005263,Mega,118.9163836,2.1722748790352244
37.0,12.22871601,1.749290106,Mega,129.0148388,2.5307941331881025
37.0,8.823525102,3.405839489,Mega,132.5496146,2.692490868026203
59.0,15.29205006,3.340436207,Macro,208.2744516,2.682825987096246
48.0,14.11561705,3.328378357,Mega,175.5461581,2.6823875438574354
80.0,24.55463481,4.832325799,Micro,285.5962329,2.6108800474021225
28.0,5.313706473,2.473598787,Nano,91.49752891,2.5567035082763874
64.0,25.52828252,3.140870036,Nano,226.276965,2.4417722484648894
50.0,21.17480421,4.486404533,Macro,180.3195365,2.383249481415174
46.0,18.54842127,2.45558294,Nano,164.7562034,2.4589008573820577
86.0,24.78624404,6.349962293,Mega,309.2043274,2.6396990057965533
69.0,29.59440206,8.243715012,Nano,246.091519,2.3034056172494584
85.0,29.50102223,2.518222112,Mega,300.5584458,2.568453141960044
52.0,9.837592493,2.080182174,Macro,183.7118744,2.8741907138836655
54.0,17.44304527,5.549219531,Nano,191.0034733,2.4808138037461545
17.0,2.249203812,0.395150251,Nano,61.86530832,3.149266609713722
93.0,26.50281649,3.537618612,Mega,331.6478588,2.695437955214197
85.0,24.48397916,5.918985615,Micro,297.0564909,2.5740802368393916
21.0,1.505943316,2.438904189,Mega,73.87341975,2.9614700885701004
88.0,37.96929695,4.739682162,Macro,314.311367,2.4046654570737447
75.0,29.4842347,7.237783972,Nano,268.7997822,2.405969614540872
38.0,3.046308751,1.743629417,Macro,132.3260378,3.092456859378185
95.0,36.36570198,1.944664898,Macro,339.115278,2.543802750991931
46.0,25.28199938,2.798757505,Mega,163.6396214,2.208935603263714
75.0,26.07549862,5.143706423,Mega,269.4449939,2.53668810448094
64.0,10.93089931,3.085375073,Mega,225.0640548,2.8848346909659943
35.0,8.978475946,0.05362699,Nano,125.3289243,2.8463079422339583
30.0,6.122317863,2.606806497,Mega,104.5246807,2.6988650641416156
86.0,27.73800583,5.293540405,Macro,307.8933318,2.586653215376506
79.0,23.18345295,0.762159967,Nano,282.7108546,2.7462156627105214
16.0,16.92417111,6.447476349,Nano,54.65466518,1.3881731831749002
63.0,22.81607513,4.717042117,Nano,228.4241305,2.5231002471371244
78.0,22.76810931,2.964101681,Micro,277.3993307,2.6741870056550483
24.0,12.79448447,3.973162998,Nano,86.22925533,2.115139349104813
34.0,14.44535454,1.270283967,Nano,124.595707,2.506167289442674
36.0,14.75867975,0.807413059,Micro,125.0736865,2.4255024898487263
64.0,17.61714144,5.116676896,Micro,228.5424705,2.6349868469371938
79.0,37.37903665,4.767527236,Macro,281.1147925,2.3204520498371832
11.0,7.228354408,5.250181854,Micro,46.52969738,1.9817971981204079
22.0,5.120816808,2.205299711,Micro,74.74160402,2.548636263228918
46.0,3.159829936,4.261809686,Nano,161.1829547,3.0171847184117864
49.0,15.44552256,0.062410122,Mega,174.556761,2.705973571661327
39.0,8.437964502,2.926366891,Mega,141.5900868,2.8113167172845506
38.0,0.857280644,0.218739353,Nano,137.697369,3.523833005781334
23.0,4.037914202,2.876505548,Micro,78.65146156,2.6292156831823554
17.0,8.482697909,0.946148453,Nano,58.92532301,2.2295836224892573
57.0,17.50937376,3.912910486,Macro,204.4533806,2.607082700609149
24.0,8.822604644,0.388314589,Mega,86.78602638,2.6131774845233777
38.0,13.97381157,2.937255499,Nano,133.3876269,2.429157436193839
55.0,13.23675142,0.603918273,Mega,199.1316965,2.892646126018854
84.0,27.93352343,3.978525877,Macro,300.5678307,2.593068041648786
23.0,3.424421953,1.254887329,Nano,82.71102545,2.988189647629228
25.0,21.57160034,0.182594127,Micro,89.0932451,1.9055668933165708
61.0,24.02670153,4.468540014,Macro,214.5067384,2.396850767697393
92.0,36.2813941,7.693023889,Mega,334.2548231,2.4582184505253073
52.0,14.71875781,5.067918073,Micro,184.2832675,2.5670957072918403
42.0,25.04344301,7.954162784,Macro,151.1302268,2.015134019279463
87.0,26.26344606,4.66625435,Mega,314.0867756,2.66333904443097
23.0,3.511058483,1.668667492,Nano,82.1296575,2.9144945402543074
16.0,1.114215614,0.124305507,Micro,55.74975786,3.234022075831409
97.0,31.59758582,6.09616703,Macro,345.6002412,2.5658223480109976
83.0,22.12318389,4.548473435,Mega,301.0213397,2.744750531196552
32.0,7.235169671,4.165978174,Micro,114.2225515,2.6317864197492398
81.0,30.51678552,4.253765851,Mega,286.3361747,2.4733075148135293
81.0,35.74400862,8.48557931,Mega,290.1991827,2.3173372003923993
32.0,9.445032076,0.904710414,Nano,115.3592435,2.723965642228867
24.0,11.04100773,0.581803233,Nano,82.90996955,2.327440404299236
93.0,28.27465769,2.404138725,Mega,328.3217343,2.6546323526494193
52.0,20.59744192,5.687517289,Mega,183.6120012,2.3454313964679327
21.0,2.027718364,0.54277143,Nano,70.90876724,3.0083705455306333
15.0,7.888210849,3.998362072,Macro,53.54400783,1.991477604353918
62.0,19.93974943,1.581668395,Mega,222.4692477,2.663619146961003
45.0,14.76514666,4.973730489,Mega,159.8115953,2.4685567982927017
84.0,29.28103583,4.182346523,Micro,300.7539331,2.560405865005459
12.0,8.46670897,4.076583625,Mega,41.86991628,1.705961664187217
66.0,23.16259764,2.051333546,Mega,238.3714378,2.6133227095970897
71.0,21.68478521,4.362889043,Mega,253.4613277,2.6117197516679784
30.0,2.763161925,1.491292036,Nano,108.7079901,3.173543219336329
96.0,36.13679466,8.724352447,Nano,340.7979819,2.419389511581397
81.0,36.01062277,9.307983043,Micro,291.8702502,2.310587963835509
61.0,13.62383917,1.081630027,Mega,218.7967423,2.8901048315366666
88.0,31.2965668,6.268563747,Nano,312.2336302,2.4866268910788776
